Output Of Scenario 0001
Part One: Trip Distribution Origin-Destination Matrix
,Zone1,Zone2,Zone3,Zone4,Zone5,Zone6,Zone7,Zone8,Zone9,Zone10,Zone11,Zone12,Zone13,Zone14,Zone15,Zone16,Zone17,Zone18,Zone19,Zone20,Zone21,Zone22,Zone23,Zone24,Zone25,Zone26,Zone27,Zone28,Zone29,Zone30,Zone31,Zone32,Zone33,Zone34,Zone35,Zone36,Zone37,Zone38,Zone39,Zone40,Zone41,Zone42,Zone43,Zone44,Zone45,Zone46,Zone47,Zone48,Zone49,Zone50,Zone51,Zone52,Zone53,Zone54,Zone55,Zone56,Zone57,Zone58,Zone59,Zone60,Zone61,Zone62,Zone63,Zone64,Zone65,Zone66,Zone67,Zone68,Zone69,Zone70,Zone71,Zone72,Zone73,Zone74,Zone75,Zone76,Zone77,Zone78,Zone79,Zone80,Zone81,Zone82,Zone83,Zone84,Zone85,Zone86,Zone87,Zone88,Zone89,Zone90,Zone91,Zone92,Zone93,Zone94,Zone95,Zone96,Zone97,Zone98,Zone99,Zone100,Trip Production Of Each Zone
Zone1,         0,         0,         0,         0,         1,         3,         0,         0,         1,         7,         0,         0,         7,         0,         0,         0,         1,         0,         1,         1,         0,         3,         2,         1,         1,        11,         7,         0,         0,         0,         0,         1,         0,         0,         4,        21,         1,         0,         2,         5,         2,        11,         8,         2,         3,         0,         5,         0,         0,         1,         7,         2,         7,         0,        11,         7,         8,         0,         4,         1,         2,         0,        13,        13,        10,         2,         2,         2,         3,         3,        10,        11,         4,         1,         6,         4,         1,         0,         2,         1,         2,         6,         0,         4,         4,         1,         0,         3,         2,         2,         0,         3,         3,         0,         0,         0,         3,         3,         1,         3,       296
Zone2,         0,         0,         0,         1,         4,        15,         2,         2,         6,        41,         0,         0,        43,         0,         0,         0,         9,         2,         3,         6,         0,        17,         9,         4,         6,        65,        45,         0,         3,         0,         0,         5,         2,         2,        22,       124,         7,         2,        13,        29,        12,        64,        50,        10,        16,         0,        27,         2,         0,         5,        43,        14,        42,         0,        66,        40,        48,         1,        25,         9,        14,         2,        77,        79,        60,        10,        14,        12,        20,        17,        62,        67,        24,         8,        38,        22,         7,         1,        15,         8,        13,        36,         0,        25,        24,         8,         3,        17,        11,        12,         0,        19,        16,         3,         0,         2,        17,        21,         8,        15,      1779
Zone3,         0,         0,         0,         3,         8,        28,         3,         4,        12,        78,         0,         0,        82,         0,         0,         0,        17,         4,         6,        12,         0,        32,        17,         8,        11,       123,        84,         1,         6,         1,         0,        10,         3,         4,        42,       234,        13,         3,        25,        55,        23,       121,        94,        18,        31,         0,        52,         4,         0,        10,        81,        27,        80,         1,       125,        76,        92,         1,        47,        17,        27,         4,       146,       149,       114,        18,        26,        23,        39,        33,       118,       126,        46,        15,        72,        42,        14,         2,        28,        15,        25,        68,         0,        48,        44,        16,         6,        32,        21,        22,         0,        36,        30,         6,         0,         4,        31,        39,        16,        29,      3360
Zone4,         0,         1,         5,         0,         0,        41,         5,         6,        18,       114,         5,         0,       120,         0,         0,         0,        24,         6,         9,        18,        17,        48,        25,        12,         0,         0,       123,         1,         8,         1,         0,        14,         5,         6,        61,         0,        19,         4,        37,        80,        34,       178,       138,        27,        45,         0,        75,         6,         0,        15,       118,        40,       118,         1,       183,       111,       134,         2,        70,        25,        40,         6,       214,       219,       167,        27,        39,        35,        57,        49,       172,       185,        67,        22,       105,        63,        21,         2,        42,        23,        36,       100,         0,        70,        66,        23,         8,        47,        31,        32,         0,        53,        44,         8,         1,         6,        46,        58,        24,        42,      4403
Zone5,         0,         0,         2,         0,         0,         0,         0,         2,         6,        39,         2,         0,        41,         0,         0,         0,         8,         2,         3,         6,         6,        16,         9,         4,         0,         0,        42,         0,         3,         0,         0,         5,         2,         2,        21,         0,         6,         2,        13,        27,        12,        61,        47,         9,        16,         0,        26,         2,         0,         5,        40,        14,        40,         0,        62,        38,        46,         1,        24,         8,        14,         2,        73,        75,        57,         9,        13,        12,        20,        17,        59,        63,        23,         8,        36,        22,         7,         1,        14,         8,        12,        34,         0,        24,        23,         8,         3,        16,        10,        11,         0,        18,        15,         3,         0,         2,        16,        20,         8,        14,      1491
Zone6,         1,         1,         8,         6,         0,         0,         0,        10,        30,       191,         9,         0,       199,         1,         0,         0,        41,        10,        15,        30,        29,        79,        41,        19,        26,       299,       207,         2,        14,         2,         0,        23,         8,        10,       101,       571,        31,         7,        62,       134,        56,       295,       229,        44,        75,         0,       126,        10,         0,        25,       196,        66,       195,         2,       303,       184,       224,         3,       116,        41,        66,        11,       356,       363,       276,        45,        65,        58,        96,        81,       286,       306,       112,        37,       175,       105,        34,         4,        70,        38,        60,       165,         0,       117,       110,        39,        14,        79,        51,        54,         0,        88,        73,        14,         1,         9,        77,        97,        39,        71,      8147
Zone7,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         3,         0,         0,         0,         0,         0,         0,         0,         0,         1,         1,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         1,         0,         0,         0,         0,         0,         1,         4,         3,         1,         1,         0,         0,         0,         0,         0,         3,         1,         3,         0,         4,         3,         0,         0,         2,         1,         1,         0,         5,         5,         4,         1,         1,         1,         1,         1,         4,         4,         2,         1,         2,         1,         0,         0,         1,         1,         1,         2,         0,         2,         2,         1,         0,         1,         1,         1,         0,         1,         1,         0,         0,         0,         1,         1,         1,         1,        84
Zone8,         0,         1,         6,         5,        15,        54,         0,         0,         0,         0,         7,         0,       156,         1,         0,         0,         0,         0,         0,         0,        22,        62,        33,        15,        20,         0,         0,         0,         0,         0,         0,        18,         6,         8,        80,         0,         0,         0,         0,         0,        44,       232,       180,        35,        59,         0,         0,         0,         0,         0,       154,        52,       153,         2,       238,       145,         0,         0,        91,        32,        52,         8,       279,       285,       217,        35,        51,        45,        75,        64,       224,       240,        88,        29,       137,        82,        27,         3,        55,        30,        47,       130,         0,        92,        86,        30,        11,        62,        40,        42,         0,        69,        57,        11,         1,         7,        61,        76,        31,        55,      4864
Zone9,         0,         0,         1,         1,         2,         7,         0,         0,         0,         0,         1,         0,        20,         0,         0,         0,         0,         0,         0,         0,         3,         8,         4,         2,         3,         0,         0,         0,         0,         0,         0,         2,         1,         1,        10,         0,         0,         0,         0,         0,         6,        29,        23,         4,         7,         0,         0,         0,         0,         0,        19,         6,        19,         0,        30,        18,         0,         0,        11,         4,         6,         1,        35,        36,        27,         4,         6,         6,         9,         8,        28,        30,        11,         4,        17,        10,         3,         0,         7,         4,         6,        16,         0,        11,        11,         4,         1,         8,         5,         5,         0,         9,         7,         1,         0,         1,         8,        10,         4,         7,       608
Zone10,         0,         1,         5,         4,        12,        44,         0,         0,         0,         0,         6,         0,       127,         1,         0,         0,         0,         0,         0,         0,        18,        50,        26,        12,        17,         0,         0,         0,         0,         0,         0,        15,         5,         7,        65,         0,         0,         0,         0,         0,        36,       188,       146,        28,        48,         0,         0,         0,         0,         0,       125,        42,       124,         1,       193,       118,         0,         0,        74,        26,        42,         7,       227,       232,       176,        29,        41,        37,        61,        52,       182,       195,        71,        24,       111,        67,        22,         2,        44,        24,        38,       105,         0,        74,        70,        25,         9,        50,        32,        34,         0,        56,        47,         9,         1,         6,        49,        62,        25,        45,      3952
Zone11,         0,         0,         0,         3,         9,        33,         4,         5,        14,        92,         0,         0,        96,         1,         0,         0,        20,         5,         7,        14,         0,        38,        20,         9,        13,       145,        99,         1,         7,         1,         0,        11,         4,         5,        49,       276,        15,         4,        30,        64,        27,       143,       111,        21,        36,         0,        61,         5,         0,        12,        95,        32,        94,         1,       147,        89,       108,         1,        55,        20,        32,         5,       172,       176,       134,        22,        31,        28,        46,        39,       138,       148,        54,        18,        85,        50,        16,         2,        33,        18,        29,        80,         0,        56,        52,        18,         6,        38,        24,        26,         0,        43,        35,         7,         0,         4,        37,        46,        19,        34,      3952
Zone12,         0,         0,         0,         1,         2,         7,         1,         1,         3,        18,         0,         0,        19,         0,         0,         0,         4,         1,         1,         3,         0,         8,         4,         2,         3,        29,        20,         0,         1,         0,         0,         2,         1,         1,        10,        55,         3,         1,         6,        13,         5,        29,        22,         4,         7,         0,        12,         1,         0,         2,        19,         6,        19,         0,        29,        18,        22,         0,        11,         4,         6,         1,        34,        35,        27,         4,         6,         6,         9,         8,        28,        30,        11,         4,        17,        10,         3,         0,         7,         4,         6,        16,         0,        11,        10,         4,         1,         8,         5,         5,         0,         9,         7,         1,         0,         1,         7,         9,         4,         7,       790
Zone13,         1,         1,         8,         7,        20,        70,         8,        10,        30,       193,         9,         0,         0,         0,         0,         0,        41,        10,        15,        30,        29,         0,         0,         0,         0,       305,       210,         2,        14,         2,         0,         0,         0,         0,         0,         0,        32,         8,        63,       136,         0,         0,         0,         0,         0,         0,       128,        10,         0,        25,         0,         0,         0,         0,         0,         0,       227,         3,       118,        42,         0,         0,         0,         0,         0,         0,        66,        59,        97,        83,         0,         0,         0,         0,         0,       107,        35,         4,        71,        39,         0,         0,         0,         0,       112,        39,        14,        80,        52,        55,         0,         0,        75,        14,         1,         9,        79,        99,        40,        72,      3109
Zone14,         0,         0,         4,         0,         0,        37,         4,         5,        16,       102,         5,         0,         0,         0,         0,         0,        22,         5,         8,        16,        15,         0,         0,         0,         0,         0,       111,         1,         7,         1,         0,         0,         0,         0,         0,         0,        17,         4,        33,        72,         0,         0,         0,         0,         0,         0,        68,         6,         0,        13,         0,         0,         0,         0,         0,         0,       120,         1,        62,        22,         0,         0,         0,         0,         0,         0,        35,        31,        51,        44,         0,         0,         0,         0,         0,        56,        19,         2,        37,        20,         0,         0,         0,         0,        59,        21,         7,        42,        27,        29,         0,         0,        39,         7,         1,         5,        42,        52,        21,        38,      1466
Zone15,         0,         0,         1,         0,         0,         5,         1,         1,         2,        15,         1,         0,        16,         0,         0,         0,         3,         1,         1,         2,         2,         6,         3,         2,         0,         0,        16,         0,         1,         0,         0,         2,         1,         1,         8,         0,         2,         1,         5,        11,         5,        24,        18,         4,         6,         0,        10,         1,         0,         2,        16,         5,        16,         0,        24,        15,        18,         0,         9,         3,         5,         1,        29,        29,        22,         4,         5,         5,         8,         6,        23,        25,         9,         3,        14,         8,         3,         0,         6,         3,         5,        13,         0,         9,         9,         3,         1,         6,         4,         4,         0,         7,         6,         1,         0,         1,         6,         8,         3,         6,       587
Zone16,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         1,         0,        12,         0,         0,         0,         0,         0,         0,         0,         2,         5,         2,         1,         0,         0,         0,         0,         0,         0,         0,         1,         0,         1,         6,         0,         0,         0,         0,         0,         3,        17,        13,         3,         4,         0,         0,         0,         0,         0,        11,         4,        11,         0,        18,        11,         0,         0,         7,         2,         4,         1,        21,        21,        16,         3,         4,         3,         6,         5,        17,        18,         7,         2,        10,         6,         2,         0,         4,         2,         4,        10,         0,         7,         6,         2,         1,         5,         3,         3,         0,         5,         4,         1,         0,         1,         4,         6,         2,         4,       353
Zone17,         0,         0,         2,         1,         4,        14,         0,         0,         0,         0,         2,         0,        39,         0,         0,         0,         0,         0,         0,         0,         6,        15,         8,         4,         5,         0,         0,         0,         0,         0,         0,         5,         2,         2,        20,         0,         0,         0,         0,         0,        11,        58,        45,         9,        15,         0,         0,         0,         0,         0,        38,        13,        38,         0,        59,        36,         0,         0,        23,         8,        13,         2,        70,        71,        54,         9,        13,        11,        19,        16,        56,        60,        22,         7,        34,        21,         7,         1,        14,         7,        12,        32,         0,        23,        22,         8,         3,        15,        10,        11,         0,        17,        14,         3,         0,         2,        15,        19,         8,        14,      1216
Zone18,         0,         1,         5,         4,        13,        47,         0,         0,         0,         0,         6,         0,       137,         1,         0,         0,         0,         0,         0,         0,        20,        54,        28,        13,        18,         0,         0,         0,         0,         0,         0,        16,         5,         7,        70,         0,         0,         0,         0,         0,        39,       203,       158,        30,        52,         0,         0,         0,         0,         0,       135,        45,       134,         1,       208,       127,         0,         0,        80,        28,        45,         7,       244,       250,       190,        31,        45,        40,        66,        56,       196,       210,        77,        26,       120,        72,        24,         3,        48,        26,        41,       113,         0,        80,        75,        26,         9,        54,        35,        37,         0,        61,        50,         9,         1,         6,        53,        67,        27,        49,      4256
Zone19,         0,         0,         2,         1,         4,        14,         0,         0,         0,         0,         2,         0,        39,         0,         0,         0,         0,         0,         0,         0,         6,        15,         8,         4,         5,         0,         0,         0,         0,         0,         0,         5,         2,         2,        20,         0,         0,         0,         0,         0,        11,        58,        45,         9,        15,         0,         0,         0,         0,         0,        38,        13,        38,         0,        59,        36,         0,         0,        23,         8,        13,         2,        70,        71,        54,         9,        13,        11,        19,        16,        56,        60,        22,         7,        34,        21,         7,         1,        14,         7,        12,        32,         0,        23,        22,         8,         3,        15,        10,        11,         0,        17,        14,         3,         0,         2,        15,        19,         8,        14,      1216
Zone20,         1,         2,        14,        12,        36,       125,         0,         0,         0,         0,        16,         0,       361,         2,         0,         0,         0,         0,         0,         0,        52,       143,        75,        35,        47,         0,         0,         0,         0,         0,         0,        43,        14,        19,       184,         0,         0,         0,         0,         0,       102,       536,       416,        80,       137,         1,         0,         0,         0,         0,       356,       119,       354,         4,       550,       334,         0,         0,       211,        75,       120,        19,       646,       660,       502,        81,       118,       105,       173,       147,       519,       556,       203,        68,       317,       190,        63,         7,       126,        69,       109,       300,         0,       212,       199,        70,        25,       143,        92,        98,         0,       161,       133,        25,         2,        17,       140,       176,        71,       128,     11249
Zone21,         0,         0,         0,         2,         5,        17,         2,         2,         7,        46,         0,         0,        48,         0,         0,         0,        10,         2,         4,         7,         0,        19,        10,         5,         6,        72,        50,         0,         3,         1,         0,         6,         2,         3,        25,       138,         8,         2,        15,        32,        14,        71,        55,        11,        18,         0,        30,         2,         0,         6,        47,        16,        47,         0,        73,        45,        54,         1,        28,        10,        16,         3,        86,        88,        67,        11,        15,        14,        23,        19,        69,        74,        27,         9,        42,        25,         8,         1,        17,         9,        15,        40,         0,        28,        26,         9,         3,        19,        12,        13,         0,        21,        17,         3,         0,         2,        18,        23,         9,        17,      1976
Zone22,         1,         2,        14,        12,        37,       129,        15,        19,        56,       357,        16,         0,         0,         0,         0,         0,        76,        19,        28,        56,        54,         0,         0,         0,         0,       562,       387,         3,        25,         4,         0,         0,         0,         0,         0,         0,        59,        14,       116,       251,         0,         0,         0,         0,         0,         0,       236,        19,         0,        47,         0,         0,         0,         0,         0,         0,       419,         5,       219,        78,         0,         0,         0,         0,         0,         0,       122,       109,       180,       153,         0,         0,         0,         0,         0,       197,        65,         7,       131,        72,         0,         0,         0,         0,       207,        72,        26,       149,        96,       102,         0,         0,       138,        26,         2,        17,       146,       183,        74,       133,      5740
Zone23,         1,         1,        11,        10,        29,       102,        12,        15,        44,       283,        13,         0,         0,         0,         0,         0,        60,        15,        22,        44,        43,         0,         0,         0,         0,       445,       306,         2,        20,         3,         0,         0,         0,         0,         0,         0,        47,        11,        92,       199,         0,         0,         0,         0,         0,         0,       187,        15,         0,        37,         0,         0,         0,         0,         0,         0,       332,         4,       173,        61,         0,         0,         0,         0,         0,         0,        97,        86,       142,       121,         0,         0,         0,         0,         0,       156,        51,         6,       104,        57,         0,         0,         0,         0,       164,        57,        20,       118,        76,        80,         0,         0,       109,        21,         1,        14,       115,       145,        58,       105,      4544
